changeID,project,insertions,deletions,accountID,verified
1,85789,openstack-infra/system-config,6,0,4146
0,301864,openstack/nova,88,4,18247
0,445017,openstack/vmware-nsx,3,3,6167
1,451350,openstack/ironic-inspector,20,40,18653
1,437449,openstack/glance,15,1,5280
0,338889,openstack-dev/ci-sandbox,1,0,22495
0,413876,openstack/nova,14,18,7634
1,278286,openstack/fuel-specs,213,0,11827
0,340071,openstack-dev/ci-sandbox,1,1,21990
0,334758,openstack-dev/ci-sandbox,1,0,21976
1,439699,openstack/tripleo-heat-templates,17,0,13564
0,317399,openstack/rally,135,0,12395
1,435185,openstack-infra/nodepool,368,0,7118
1,454927,openstack/requirements,1,1,6671
0,343262,openstack-dev/ci-sandbox,1,0,22495
0,457859,openstack/nova,34,7,4690
0,346430,openstack-dev/ci-sandbox,1,0,22495
0,347319,openstack-dev/ci-sandbox,1,0,22495
0,426714,openstack/fuel-ccp-ci-config,1,1,19542
1,366334,openstack/browbeat,4,0,7294
0,334952,openstack-dev/ci-sandbox,1,0,21976
1,442016,openstack/cinder,14,27,9708
1,242673,openstack/compass-install,1,1,5263
0,310888,openstack-dev/ci-sandbox,0,0,11751
0,367845,openstack/fuel-library,67,1,14007
1,363074,openstack-infra/ansible-role-puppet,5,1,9624
1,452115,openstack/freezer-api,398,26,6508
1,422349,openstack/freezer-web-ui,122,1,14151
0,363526,openstack-dev/ci-sandbox,0,1,20303
1,444615,openstack-infra/storyboard,30,14,16960
0,437870,openstack/fuel-ccp,166,0,9558
0,343265,openstack-dev/ci-sandbox,1,0,22495
0,242603,openstack/nova,30,2,4393
1,427428,openstack/ironic-tempest-plugin,108,5,22860
0,337241,openstack-dev/sandbox,1,1,22344
1,452658,openstack/python-cinderclient,1,1,25571
0,368388,openstack-dev/ci-sandbox,2,0,18695
0,445661,openstack-dev/ci-sandbox,0,0,19530
0,300159,openstack/rally,4,2,11748
0,452723,openstack/charm-neutron-api-plumgrid,7737,1386,20870
0,337343,openstack-dev/ci-sandbox,1,0,21976
0,451469,openstack/charm-glance,440,109,20870
0,457861,openstack/nova,114,194,4690
1,357034,openstack/heat-specs,4,4,10980
0,414069,openstack-dev/ci-sandbox,0,0,23729
0,417288,openstack/nova,153,1,5754
0,337345,openstack-dev/ci-sandbox,1,0,21976
1,346218,openstack/puppet-monasca,178,4,5559
1,459102,openstack/tempest,4,12,7350
1,445819,openstack/tripleo-heat-templates,9,1,13039
1,341242,openstack-dev/sandbox,1,0,7882
1,379818,openstack/compass-adapters,1,1,8213
1,455495,openstack/freezer,1,1,21224
1,454654,openstack-dev/sandbox,1,1,25656
0,347241,openstack-dev/ci-sandbox,1,0,22495
1,456028,openstack/tricircle,2,2,11131
1,458425,openstack/networking-generic-switch,93,19,14826
1,451827,openstack/tacker,255,19,20340
0,315971,openstack-dev/ci-sandbox,3,2,21817
0,433470,openstack/nova,2,1,6062
0,429974,openstack/neutron,257,279,7787
1,451151,openstack/heat,9,6,8289
1,371150,openstack/swift,110,20,9625
0,242602,openstack/nova,165,11,4393
0,438063,openstack/neutron,10,8,7787
